wrong_label,correct_label,reason,wiki_link
Aedesia of Alexandria,Aedesia,,"'https://de.wikipedia.org/wiki/Ilaria_Brocchini',"
Kate Tickel,,,"    'https://pl.wikipedia.org/wiki/Izydora_D%C4%85mbska',"
Judah ben Isaac Abravanel,Isaac Abarbanel,,"    'https://zh.wikipedia.org/wiki/%E9%99%B3%E7%8D%BB%E7%AB%A0',"
Alexandreues Athanasius Ainsley,,,"    'https://zh.m.wikipedia.org/zh-hans/%E7%84%A6%E7%AB%91',"
Gilles carloe-villiers,,,"    'https://pt.wikipedia.org/wiki/Carlos_Nelson_Coutinho',"
Celsus of Alexandria,Celsus,,"    'https://es.wikipedia.org/wiki/Raimundo_de_Farias_Brito',"
Diogenes the Cynic of Sinope,Diogenes,,"    'https://de.wikipedia.org/wiki/Joseph_Geyser',"
Boris M. Hessen,Boris Hessen,,"    'https://de.wikipedia.org/wiki/Reinhardt_Grossmann',"
Hierocles the Stoic,Hierocles (Stoic),,"    'https://fr.wikipedia.org/wiki/Lucien_Laberthonni%C3%A8re',"
Viola teresa keirsted,,,"    'https://fr.wikipedia.org/wiki/Jules_Lachelier',"
Athanasius kircher,Athanasius Kircher,,"    'https://de.wikipedia.org/wiki/Arthur_Liebert',"
Aleksei Fedorovich Losev,Aleksei Losev,,"    'https://de.wikipedia.org/wiki/Minagawa_Kien',"
Nathaniel Maxwell Lutes I,,,"    'https://de.wikipedia.org/wiki/William_Penbygull',"
Anne Ammoria mcbuyt-pharweill,,,"    'https://de.wikipedia.org/wiki/Joseph_Petzoldt',"
Alexander McKechnie,,,"    'https://de.wikipedia.org/wiki/Franti%C5%A1ek_Weyr',"
George merill,George Merrill (life partner of Edward Carpenter),,    'https://de.wikipedia.org/wiki/Ota_Weinberger'
Gottfried Ploucquet [de],,fr,https://fr.wikipedia.org/wiki/Gottfried_Ploucquet
Mestrius Plutarch of Chaeronia,Plutarch,,
Ismael Quiles [es],,es,https://es.wikipedia.org/wiki/Ismael_Quiles
"Xenophanes of Colophon,",Xenophanes,,
Ilaria Brocchini,,,
Izydora Dąmbska,,,
Abd al-Jabiri,Mohammed Abed al-Jabri,,
Dorion Cairns,,,
Mario Calderoni,,,
Ch'en Hsien-chang,,,
Chiao Hung,,,
Tasan Chông Yagyong,Jeong Yak-yong,,
Carlos Nelson Coutinho,,,
Raimundo de Farias Brito,,,
Erich Frank,,,
Gadadhara Bhattacharya,,,
Joseph Geyser,,,
Reinhardt Grossmann,,,
Axel Anders Theodor Hagerstrom,Axel H%C3%A4gerstr%C3%B6m,,
David Walter Hamlyn,,,
Carl Heim,Karl Heim,,
Ronald William Hepburn,,,
Sergei Iosifovich Hessen,,,
Hu Hung,,,
Friedrich Jodl,Friedrich Wilhelm Joseph Schelling,,
Lev Platonovich Karsavin,,,
Joseph Kaspi,Joseph Caspi,,
Aleksei Aleksandrovich Kozlov,,,
Lucien Laberthonnière,,,
Jules Lachelier,,,
Ivan Ivanovich Lapshin,,,
Liang Sou-ming,Liang Shuming,,
Arthur Liebert,,,
Liu Tsung-chou,Liu Zongzhou,,
Charles B. Martin,,,
Minagawa Kien,,,
Mou Tsung-san,Mou Zongsan,,
William Penbygull,,,
Joseph Petzoldt,,,
Pseudo-Grosseteste,Pseudo-Dionysius the Areopagite,,
Rgyal tshab dar ma rin chen,Gyaltsab Je,,
Johannes Sharpe,,,
T'ang Chun-i,Tang Chun-i,,
George Turnball,George Turnbull (theologian),,
Gabriel Vazquez,Gabriel Vásquez,,
Boris Petrovich Vysheslavtsev,Boris Vysheslavtsev,,
Ota Weinberger,,,
Frantisek Weyr,,,
Yi Kan,,,
Philip Zhai,,,
Dickinson Miller,Dickinson S. Miller,dbpedia won't automatically direct to the page,
